Club,Profile URL,Name,Date of birth,Place of birth,Age,Name in native country,Height,Nationality,Position,Foot,Market value,Contract until,Contract option,Homepage,Debut (Club),
Chelsea FC,https://www.soccerdonna.de/en/nathalie-bjoern/profil/spieler_22437.html,14 Nathalie Björn,04.05.1997,Uppsala,28,Gun Nathalie Björn,"1,74",Sweden,Defence - Centre Back,right,400.000 €,30.06.2027,,,14.01.2024,
Chelsea FC,https://www.soccerdonna.de/en/naomi-girma/profil/spieler_31755.html,16 Naomi Girma,14.06.2000,"San José, California",25,Naomi Haile Girma,"1,68",United States Ethiopia,Defence - Centre Back,right,800.000 €,30.06.2029,,www.instagram.com/naomi_girma/,02.03.2025,
Chelsea FC,https://www.soccerdonna.de/en/niamh-charles/profil/spieler_30393.html,21 Niamh Charles,21.06.1999,Wirral Peninsula,26,Niamh Louise Charles,"1,72",England,"Defence - Fullback, left",right,475.000 €,30.06.2027,,www.instagram.com/niamhcharles17/,29.08.2020,19.01.2024
Chelsea FC,https://www.soccerdonna.de/en/lucy-bronze/profil/spieler_4356.html,22 Lucy Bronze,28.10.1991,Berwick-upon-Tweed,33,Lucia Roberta Tough Bronze,"1,71",England Portugal,"Defence - Fullback, right",right,250.000 €,30.06.2026,,www.instagram.com/lucybronze/,20.09.2024,
Chelsea FC,https://www.soccerdonna.de/en/maelys-mpome/profil/spieler_47025.html,25 Maelys Mpomé,23.02.2003,Champigny-sur-Marne,22,,"1,80",France,Defence - Centre Back,,120.000 €,30.06.2028,,,08.10.2024,
Chelsea FC,https://www.soccerdonna.de/en/kadeisha-buchanan/profil/spieler_18166.html,26 Kadeisha Buchanan,05.11.1995,"Toronto, Ontario",29,Kadeisha Buchanan,"1,70",Canada Jamaica,Defence - Centre Back,left,150.000 €,30.06.2027,,www.instagram.com/keishaballa/,18.09.2022,15.04.2025
Chelsea FC,https://www.soccerdonna.de/en/lexi-potter/profil/spieler_71122.html,Lexi Potter,17.08.2006,Epsom,18,Alexia Potter,"1,73",England,Midfield - Central Midfield,,25.000 €,?,,,,
Chelsea FC,https://www.soccerdonna.de/en/ashanti-akpan/profil/spieler_72972.html,Ashanti Akpan,24.11.2005,Warszawa,19,,"1,67",England Poland,Midfield - Defensive Midfield,,15.000 €,30.06.2026,,,19.03.2023,27.06.2025
Chelsea FC,https://www.soccerdonna.de/en/mara-alber/profil/spieler_53366.html,Mara Alber,06.09.2005,Brackenheim,19,,"1,78",Germany,Midfield - Attacking Midfield,both,200.000 €,30.06.2029,,www.instagram.com/mara_albr/,,13.03.2024
Chelsea FC,https://www.soccerdonna.de/en/julia-bartel/profil/spieler_40406.html,Júlia Bartel,18.05.2004,Castellbisbal,21,Júlia Bartel Holgado,"1,63",Spain,Midfield - Central Midfield,right,40.000 €,?,,,17.10.2024,
Chelsea FC,https://www.soccerdonna.de/en/sjoeke-nuesken/profil/spieler_32078.html,6 Sjoeke Nüsken,22.01.2001,Hamm,24,Sjoeke Nüsken,"1,74",Germany,Midfield - Defensive Midfield,right,575.000 €,30.06.2026,,www.instagram.com/sjo_nue/,01.10.2023,
Chelsea FC,https://www.soccerdonna.de/en/erin-cuthbert/profil/spieler_22143.html,8 Erin Cuthbert,19.07.1998,Irvine,26,Erin Jacqueline Cuthbert,"1,62",Scottland,Midfield - Central Midfield,right,350.000 €,30.06.2027,,,30.04.2017,12.03.2025
Chelsea FC,https://www.soccerdonna.de/en/catarina-macario/profil/spieler_46925.html,9 Catarina Macário,04.10.1999,São Luís,25,Catarina Cantanhede Melônio Macário,"1,65",United States Brazil,Midfield - Attacking Midfield,right,625.000 €,30.06.2026,,,03.03.2024,
Chelsea FC,https://www.soccerdonna.de/en/wieke-kaptein/profil/spieler_54876.html,18 Wieke Kaptein,29.08.2005,Hengelo (Ov),19,Wieke Hendrikje Maria Kaptein,"1,71",Netherlands,Midfield - Defensive Midfield,right,400.000 €,30.06.2027,,www.instagram.com/wiekekaptein/,27.09.2024,
Chelsea FC,https://www.soccerdonna.de/en/oriane-jean-francois/profil/spieler_39684.html,27 Oriane Jean-François,14.08.2001,Saint-Laurent-du-Maroni,23,,"1,64",France,Midfield - Central Midfield,both,475.000 €,30.06.2027,,,08.10.2024,
Chelsea FC,https://www.soccerdonna.de/en/keira-walsh/profil/spieler_22178.html,30 Keira Walsh,08.04.1997,Rochdale,28,Keira Fae Walsh,"1,67",England,Midfield - Defensive Midfield,right,650.000 €,30.06.2029,,www.instagram.com/keirawalsh/,02.02.2025,
Chelsea FC,https://www.soccerdonna.de/en/lola-brown/profil/spieler_74059.html,53 Lola Brown,31.10.2007,Sliema,17,Lola Sangita Brown,"1,63",England,Midfield,left,50.000 €,30.06.2027,,,20.11.2024,18.11.2024
Chelsea FC,https://www.soccerdonna.de/en/louna-ribadeira/profil/spieler_57683.html,Louna Ribadeira,18.08.2004,Villeneuve-Saint-Georges,20,,"1,69",France,Striker - Centre Forward,right,215.000 €,?,,,,
Chelsea FC,https://www.soccerdonna.de/en/aimee-claypole/profil/spieler_46739.html,Aimee Claypole,08.11.2005,Reading,19,Aimee Jessica Claypole,"1,67",England Finland,Striker,,40.000 €,30.06.2026,,,29.01.2022,27.06.2025
Chelsea FC,https://www.soccerdonna.de/en/mayra-ramirez/profil/spieler_49036.html,7 Mayra Ramírez,23.03.1999,Sibaté,26,Mayra Tatiana Ramírez Ramírez,"1,76",Colombia,Striker - Centre Forward,right,750.000 €,30.06.2028,,www.instagram.com/mayra.ramirez9/,27.01.2024,
Chelsea FC,https://www.soccerdonna.de/en/lauren-james/profil/spieler_33810.html,10 Lauren James,29.09.2001,London,23,Lauren Elizabeth James,"1,67",England,Striker - Right Wing,both,700.000 €,30.06.2027,,www.instagram.com/laurennjjames/,18.11.2021,01.06.2023
Chelsea FC,https://www.soccerdonna.de/en/guro-reiten/profil/spieler_11710.html,11 Guro Reiten,26.07.1994,Sunndalsøra,30,Guro Reiten,"1,66",Norway,Striker - Left Wing,left,450.000 €,30.06.2026,,www.instagram.com/greiten/,08.09.2019,07.01.2025
Chelsea FC,https://www.soccerdonna.de/en/sandy-baltimore/profil/spieler_31773.html,17 Sandy Baltimore,19.02.2000,Colombes,25,Sandy Madeleine Baltimore,"1,56",France Guadeloupe,Striker - Left Wing,left,525.000 €,30.06.2028,,,20.09.2024,
Chelsea FC,https://www.soccerdonna.de/en/johanna-rytting-kaneryd/profil/spieler_22573.html,19 Johanna Rytting Kaneryd,12.02.1997,Kolsva,28,Anna Johanna Rytting Kaneryd,"1,64",Sweden,Striker - Right Wing,both,500.000 €,30.06.2027,,,18.09.2022,04.06.2025
Chelsea FC,https://www.soccerdonna.de/en/sam-kerr/profil/spieler_910.html,20 Sam Kerr,10.09.1993,"East Fremantle, Western Australia",31,Samantha May Kerr,"1,68",Australia,Striker - Centre Forward,right,500.000 €,30.06.2026,,www.instagram.com/samanthakerr20/,05.01.2020,13.06.2024
Chelsea FC,https://www.soccerdonna.de/en/maika-hamano/profil/spieler_48464.html,23 Maika Hamano,09.05.2004,"Takaishi, Osaka",21,浜野 まいか,"1,65",Japan,Striker,right,375.000 €,30.06.2027,,www.instagram.com/maika.059/,17.12.2023,
Chelsea FC,https://www.soccerdonna.de/en/aggie-beever-jones/profil/spieler_47021.html,33 Aggie Beever-Jones,27.07.2003,Carshalton,21,Agnes Elizabeth Beever-Jones,"1,73",England,Striker - Right Wing,right,550.000 €,30.06.2026,,,27.01.2021,28.01.2024
Chelsea FC,https://www.soccerdonna.de/en/vera-jones/profil/spieler_85576.html,63 Vera Jones,18.02.2008,,17,Vera Josephine Jones,"1,63",England Wales,Striker - Second Striker,,unknown,30.06.2027,,,,18.02.2025
Arsenal FC,https://www.soccerdonna.de/en/manuela-zinsberger/profil/spieler_10352.html,1 Manuela Zinsberger,19.10.1995,Stockerau,29,,"1,78",Austria,Goalkeeper,right,100.000 €,?,,,08.09.2019,19.01.2024
Arsenal FC,https://www.soccerdonna.de/en/daphne-van-domselaar/profil/spieler_34025.html,14 Daphne van Domselaar,06.03.2000,Beverwijk,25,,"1,76",Netherlands,Goalkeeper,right,170.000 €,?,,www.instagram.com/daphnevdomselaar/,29.09.2024,
Arsenal FC,https://www.soccerdonna.de/en/naomi-williams/profil/spieler_72230.html,40 Naomi Williams,24.10.2004,London,20,Naomie Eloise Williams,,England,Goalkeeper,,25.000 €,?,,,,
Arsenal FC,https://www.soccerdonna.de/en/cecily-wellesley-smith/profil/spieler_85573.html,Cecily Wellesley-Smith,04.01.2007,,18,Cecily Margaret Wellesley-Smith,"1,83",England,Defence,,unknown,?,,,,24.06.2025
Arsenal FC,https://www.soccerdonna.de/en/laura-wienroither/profil/spieler_23374.html,Laura Wienroither,13.01.1999,Vöcklabruck,26,Laura Wienroither,"1,65",Austria,"Defence - Fullback, right",right,60.000 €,?,,,19.01.2022,
Arsenal FC,https://www.soccerdonna.de/en/emily-fox/profil/spieler_35745.html,2 Emily Fox,05.07.1998,"Ashburn, Virginia",27,Emily Ann Fox,"1,65",United States,"Defence - Fullback, right",left,650.000 €,?,,www.instagram.com/___emilyfox/,14.01.2024,
Arsenal FC,https://www.soccerdonna.de/en/lotte-wubben-moy/profil/spieler_28690.html,3 Lotte Wubben-Moy,11.01.1999,London,26,Carlotte Mae Wubben-Moy,"1,78",England Netherlands,Defence - Centre Back,right,350.000 €,30.06.2028,,www.instagram.com/lottewubbenmoy/,26.07.2015,22.04.2025
Arsenal FC,https://www.soccerdonna.de/en/laia-codina/profil/spieler_35558.html,5 Laia Codina,22.01.2000,Campllonch,25,Laia Codina Panedas,"1,70",Spain,Defence - Centre Back,right,275.000 €,?,,www.instagram.com/laiacodina5/,06.10.2023,
Arsenal FC,https://www.soccerdonna.de/en/leah-williamson/profil/spieler_22175.html,6 Leah Williamson,29.03.1997,Milton Keynes,28,Leah Cathrine Williamson,"1,70",England,Defence - Centre Back,right,750.000 €,?,,,30.03.2014,27.05.2024
Arsenal FC,https://www.soccerdonna.de/en/steph-catley/profil/spieler_275.html,7 Steph Catley,26.01.1994,"Melbourne, Victoria",31,Stephanie Elise Catley,"1,71",Australia,Defence - Centre Back,left,450.000 €,30.06.2026,,www.instagram.com/stephcatley/,22.08.2020,06.06.2023
Arsenal FC,https://www.soccerdonna.de/en/katie-mccabe/profil/spieler_20344.html,11 Katie McCabe,21.09.1995,Kilnamanagh,29,Katie Alison McCabe,"1,68",Ireland,"Defence - Fullback, left",left,550.000 €,30.06.2026,,www.instagram.com/katie_mccabe11/,27.04.2016,29.09.2023
Arsenal FC,https://www.soccerdonna.de/en/jenna-nighswonger/profil/spieler_44522.html,22 Jenna Nighswonger,28.11.2000,"Huntington Beach, California",24,Jenna Gray Nighswonger,"1,62",United States,"Defence - Fullback, left",left,175.000 €,?,,www.instagram.com/jennanighswonger/,09.02.2025,
Arsenal FC,https://www.soccerdonna.de/en/taylor-hinds/profil/spieler_30409.html,24 Taylor Hinds,25.04.1999,Northampton,26,Taylor Jasmine Hinds,"1,60",Jamaica England,"Defence - Fullback, left",,100.000 €,30.06.2028,,,,
Arsenal FC,https://www.soccerdonna.de/en/katie-reid/profil/spieler_74064.html,62 Katie Reid,25.09.2006,,18,Katie Holly Reid,,England,Defence - Centre Back,,60.000 €,?,,,14.04.2024,01.10.2024
Arsenal FC,https://www.soccerdonna.de/en/maddy-earl/profil/spieler_63553.html,Maddy Earl,03.11.2006,,18,Madison Ava Earl,,England,Midfield,,10.000 €,?,,,,
Arsenal FC,https://www.soccerdonna.de/en/laila-harbert/profil/spieler_74062.html,Laila Harbert,03.01.2007,,18,Laila Minni Harbert,"1,65",England,Midfield - Defensive Midfield,right,unknown,?,,,,
Arsenal FC,https://www.soccerdonna.de/en/freya-godfrey/profil/spieler_63546.html,Freya Godfrey,07.05.2005,Essex,20,,,England,Midfield - Attacking Midfield,,20.000 €,?,,,10.05.2023,
Arsenal FC,https://www.soccerdonna.de/en/mariona-caldentey/profil/spieler_20817.html,8 Mariona Caldentey,19.03.1996,Felanitx,29,María Francesca Caldentey Oliver,"1,65",Spain,Midfield,right,1.000.000 €,30.06.2026,,www.instagram.com/mariona8co/,04.09.2024,
Arsenal FC,https://www.soccerdonna.de/en/kim-little/profil/spieler_2583.html,10 Kim Little,29.06.1990,Mintlaw,35,Kim Alison Little,"1,63",Scottland,Midfield - Central Midfield,right,100.000 €,30.06.2026,,,06.11.2008,13.02.2025
Arsenal FC,https://www.soccerdonna.de/en/frida-maanum/profil/spieler_28339.html,12 Frida Maanum,16.07.1999,Bærum,25,Frida Leonhardsen Maanum,"1,71",Norway,Midfield - Attacking Midfield,right,400.000 €,?,,www.instagram.com/maanum99/,18.08.2021,20.05.2025
Arsenal FC,https://www.soccerdonna.de/en/lia-waelti/profil/spieler_9278.html,13 Lia Wälti,19.04.1993,Langnau im Emmental,32,Lia Joëlle Wälti,"1,68",Switzerland,Midfield - Defensive Midfield,both,250.000 €,30.06.2026,,www.instagram.com/liawaelti/,09.09.2018,11.05.2023
Arsenal FC,https://www.soccerdonna.de/en/victoria-pelova/profil/spieler_33573.html,21 Victoria Pelova,03.06.1999,Delft,26,,"1,63",Netherlands,Midfield - Central Midfield,right,275.000 €,30.06.2025,,www.instagram.com/victoriapelova/,26.01.2023,
Arsenal FC,https://www.soccerdonna.de/en/kyra-cooney-cross/profil/spieler_39199.html,32 Kyra Cooney-Cross,15.02.2002,"Herston, Queensland",23,Kyra Lillee Cooney-Cross,"1,65",Australia,Midfield - Central Midfield,right,250.000 €,?,,www.instagram.com/kyracooneyx/,01.10.2023,
Arsenal FC,https://www.soccerdonna.de/en/michelle-agyemang/profil/spieler_71123.html,Michelle Agyemang,03.02.2006,South Ockendon,19,,"1,69",England Ghana,Striker - Centre Forward,right,180.000 €,?,,,06.11.2022,
Arsenal FC,https://www.soccerdonna.de/en/chloe-kelly/profil/spieler_22176.html,Chloe Kelly,15.01.1998,London,27,Chloe Maggie Kelly,"1,68",England,Striker - Right Wing,right,700.000 €,30.06.2028,,www.instagram.com/chloekelly/,12.07.2015,
Arsenal FC,https://www.soccerdonna.de/en/vivienne-lia/profil/spieler_78982.html,Vivienne Lia,27.09.2006,,18,,,England,Striker - Left Wing,,15.000 €,?,,,14.02.2024,
Arsenal FC,https://www.soccerdonna.de/en/jessie-gale/profil/spieler_96301.html,Jessie Gale,23.08.2006,,18,Jessie May Gale,,England,Striker,,unknown,?,,,,08.07.2025
Arsenal FC,https://www.soccerdonna.de/en/beth-mead/profil/spieler_12385.html,9 Beth Mead,09.05.1995,Whitby,30,Bethany Jane Mead,"1,63",England,Striker - Right Wing,right,425.000 €,?,,,17.05.2017,
Arsenal FC,https://www.soccerdonna.de/en/rosa-kafaji/profil/spieler_45047.html,16 Rosa Kafaji,05.07.2003,Solna,22,Rusul Rosa Kafaji,"1,69",Sweden Iraq,Striker,right,150.000 €,?,,,04.09.2024,
Arsenal FC,https://www.soccerdonna.de/en/caitlin-foord/profil/spieler_7059.html,19 Caitlin Foord,11.11.1994,"Mount Warrigal, New South Wales",30,Caitlin Jade Foord,"1,68",Australia,Striker - Left Wing,left,425.000 €,?,,www.instagram.com/caitlinfoord/,23.02.2020,08.06.2023
Arsenal FC,https://www.soccerdonna.de/en/alessia-russo/profil/spieler_30397.html,23 Alessia Russo,08.02.1999,Maidstone,26,Alessia Mia Teresa Russo,"1,73",England,Striker - Centre Forward,right,1.100.000 €,?,,www.instagram.com/alessiarusso99/,06.09.2023,
Arsenal FC,https://www.soccerdonna.de/en/stina-blackstenius/profil/spieler_18812.html,25 Stina Blackstenius,05.02.1996,Vadstena,29,Emma Stina Blackstenius,"1,74",Sweden,Striker - Centre Forward,right,400.000 €,30.06.2026,,www.instagram.com/stinablackstenius/,19.01.2022,21.05.2024
Manchester City,https://www.soccerdonna.de/en/eve-annets/profil/spieler_89912.html,12 Eve Annets,19.03.2006,,19,,,England,Goalkeeper,,25.000 €,30.06.2028,,,,
Manchester City,https://www.soccerdonna.de/en/ayaka-yamashita/profil/spieler_23138.html,31 Ayaka Yamashita,29.09.1995,"Adachi, Tokyo",29,山下 杏也加,"1,70",Japan,Goalkeeper,left,70.000 €,30.06.2027,,www.instagram.com/ayaka_yamashita18/,18.09.2024,
Manchester City,https://www.soccerdonna.de/en/khiara-keating/profil/spieler_54864.html,35 Khiara Keating,27.06.2004,Ardwick,21,Khiara Ilhaan Keating,"1,67",England,Goalkeeper,right,150.000 €,30.06.2027,,www.instagram.com/khiara.k98/,12.01.2022,18.11.2023
Manchester City,https://www.soccerdonna.de/en/katie-startup/profil/spieler_30419.html,40 Katie Startup,28.01.1999,Maidstone,26,,"1,71",England,Goalkeeper,,25.000 €,30.06.2026,,,,
Manchester City,https://www.soccerdonna.de/en/risa-shimizu/profil/spieler_18031.html,2 Risa Shimizu,15.06.1996,"Kobe, Hyogo",29,清水 梨紗,"1,60",Japan,"Defence - Fullback, right",right,55.000 €,30.06.2027,,www.instagram.com/risa_shimizu_2/,,
Manchester City,https://www.soccerdonna.de/en/naomi-layzell/profil/spieler_50201.html,3 Naomi Layzell,29.02.2004,Grimsby,21,,,England,Defence - Centre Back,,125.000 €,30.06.2028,,,26.09.2024,
Manchester City,https://www.soccerdonna.de/en/jade-rose/profil/spieler_37711.html,4 Jade Rose,12.02.2003,"Markham, Ontario",22,Jade Elizabeth Rose,"1,77",Canada,Defence - Centre Back,,unknown,30.06.2029,,www.instagram.com/_.jaderose/,,
Manchester City,https://www.soccerdonna.de/en/alex-greenwood/profil/spieler_3880.html,5 Alex Greenwood,07.09.1993,Liverpool,31,Alex Greenwood,"1,67",England,Defence - Centre Back,left,290.000 €,30.06.2026,,www.instagram.com/alexgreenwood5/,13.09.2020,
Manchester City,https://www.soccerdonna.de/en/leila-ouahabi/profil/spieler_4658.html,15 Leila Ouahabi,22.03.1993,Mataró,32,Leila Ouahabi El Ouahabi,"1,71",Spain Morocco,"Defence - Fullback, left",left,80.000 €,30.06.2026,,,18.08.2022,22.02.2024
Manchester City,https://www.soccerdonna.de/en/kerstin-casparij/profil/spieler_29983.html,18 Kerstin Casparij,19.08.2000,Alphen aan den Rijn,24,Kerstin Yasmijn Casparij,"1,71",Netherlands,"Defence - Fullback, right",both,460.000 €,30.06.2027,,www.instagram.com/kerstin_casparij/,18.08.2022,17.12.2024
Manchester City,https://www.soccerdonna.de/en/tara-ohanlon/profil/spieler_64060.html,26 Tara O’Hanlon,14.03.2005,,20,,,Ireland,"Defence - Fullback, left",,35.000 €,30.06.2027,,,,
Manchester City,https://www.soccerdonna.de/en/rebecca-knaak/profil/spieler_7288.html,27 Rebecca Knaak,23.06.1996,Adenau,29,,"1,75",Germany,Defence - Centre Back,both,300.000 €,30.06.2026,,,12.01.2025,
Manchester City,https://www.soccerdonna.de/en/gracie-prior/profil/spieler_65267.html,28 Gracie Prior,02.12.2004,,20,,,England,Defence,,25.000 €,30.06.2028,,,26.10.2022,
Manchester City,https://www.soccerdonna.de/en/codie-thomas/profil/spieler_103127.html,44 Codie Thomas,30.08.2006,Stockport,18,,,England,"Defence - Fullback, right",,25.000 €,,,,16.10.2024,04.12.2024
Manchester City,https://www.soccerdonna.de/en/laura-coombs/profil/spieler_2572.html,7 Laura Coombs,29.01.1991,Gravesend,34,Laura Coombs,"1,64",England,Midfield - Attacking Midfield,right,45.000 €,30.06.2025,,www.instagram.com/lccoombs/,12.09.2019,
Manchester City,https://www.soccerdonna.de/en/jess-park/profil/spieler_35057.html,16 Jess Park,21.10.2001,Rotherham,23,Jessica Park,"1,61",England,Midfield - Right Wing,right,400.000 €,30.06.2026,,,27.07.2018,
Manchester City,https://www.soccerdonna.de/en/laura-blindkilde-brown/profil/spieler_43198.html,19 Laura Blindkilde Brown,09.09.2003,Sheffield,21,Laura Madison Blindkilde Brown,"1,62",England Denmark,Midfield - Central Midfield,right,225.000 €,30.06.2027,,,04.02.2024,
Manchester City,https://www.soccerdonna.de/en/sydney-lohmann/profil/spieler_21821.html,22 Sydney Lohmann,19.06.2000,Bad Honnef,25,Sydney Matilda Lohmann,"1,76",Germany,Midfield - Attacking Midfield,right,400.000 €,30.06.2028,,www.instagram.com/sydneylohmann/,,
Manchester City,https://www.soccerdonna.de/en/yui-hasegawa/profil/spieler_17994.html,25 Yui Hasegawa,29.01.1997,"Sendai, Miyagi",28,長谷川 唯,"1,57",Japan,Midfield - Central Midfield,right,500.000 €,30.06.2027,,www.instagram.com/yui___hasegawa/,16.10.2022,23.01.2024
Manchester City,https://www.soccerdonna.de/en/aemu-oyama/profil/spieler_44440.html,30 Aemu Oyama,19.09.2004,"---, Tokyo",20,大山 愛笑,"1,58",Japan,Midfield - Central Midfield,,40.000 €,30.06.2027,,,25.01.2025,
Manchester City,https://www.soccerdonna.de/en/eve-ocarroll/profil/spieler_92910.html,52 Eve O’Carroll,17.01.2007,,18,,,Ireland,Midfield,,unknown,?,,,08.12.2024,
Manchester City,https://www.soccerdonna.de/en/vivianne-miedema/profil/spieler_9241.html,6 Vivianne Miedema,15.07.1996,Hoogeveen,28,Anna Margaretha Marina Astrid Miedema,"1,75",Netherlands,Striker - Centre Forward,right,425.000 €,30.06.2027,,www.instagram.com/viviannemiedema/,18.09.2024,
Manchester City,https://www.soccerdonna.de/en/mary-fowler/profil/spieler_39964.html,8 Mary Fowler,14.02.2003,"Cairns, Queensland",22,Mary Boio Fowler,"1,69",Australia Ireland,Striker - Centre Forward,right,600.000 €,30.06.2026,,www.instagram.com/maryfowlerrr/,18.08.2022,
Manchester City,https://www.soccerdonna.de/en/lauren-hemp/profil/spieler_33433.html,11 Lauren Hemp,07.08.2000,North Walsham,24,Lauren May Hemp,"1,64",England,Striker - Left Wing,left,825.000 €,30.06.2027,,www.instagram.com/lauren_hemp/,09.09.2018,26.04.2024
Manchester City,https://www.soccerdonna.de/en/kerolin/profil/spieler_35808.html,14 Kerolin,17.11.1999,Bauru,25,Kerolin Nicoli Israel Ferraz,"1,62",Brazil,Striker - Centre Forward,right,650.000 €,30.06.2028,,www.instagram.com/kerolinnicoli/,25.01.2025,
Manchester City,https://www.soccerdonna.de/en/poppy-pritchard/profil/spieler_84933.html,17 Poppy Pritchard,03.12.2005,,19,,,England,Striker - Centre Forward,,30.000 €,?,,,,
Manchester City,https://www.soccerdonna.de/en/aoba-fujino/profil/spieler_64103.html,20 Aoba Fujino,27.01.2004,"Machida, Tokyo",21,藤野 あおば,"1,60",Japan,Striker - Right Wing,right,375.000 €,30.06.2027,,www.instagram.com/ao01.27/,18.09.2024,
Manchester City,https://www.soccerdonna.de/en/khadija-shaw/profil/spieler_38150.html,21 Khadija Shaw,31.01.1997,Spanish Town,28,Khadija Monifa Shaw,"1,80",Jamaica,Striker - Centre Forward,both,725.000 €,30.06.2026,,www.instagram.com/bun_bun10/,31.08.2021,30.05.2023
Manchester City,https://www.soccerdonna.de/en/iman-beney/profil/spieler_63752.html,24 Iman Beney,23.07.2006,Yverdon-les-Bains,18,Iman Beney,"1,60",Switzerland Brazil,Striker - Right Wing,right,275.000 €,30.06.2029,,www.instagram.com/iman.beney/,,
Manchester City,https://www.soccerdonna.de/en/lily-murphy/profil/spieler_103126.html,46 Lily Murphy,13.02.2006,Ashton-under-Lyne,19,,,England,Striker,,15.000 €,?,,,18.09.2024,
Manchester United,https://www.soccerdonna.de/en/kayla-rendell/profil/spieler_33813.html,1 Kayla Rendell,29.06.2001,,24,Kayla Shea Rendell,,England,Goalkeeper,,20.000 €,30.06.2027,,,,
Manchester United,https://www.soccerdonna.de/en/safia-middleton-patel/profil/spieler_47198.html,39 Safia Middleton-Patel,21.09.2004,,20,Safia Middleton-Patel,,Wales India,Goalkeeper,,15.000 €,?,,www.instagram.com/saf_middleton/,11.12.2024,
Manchester United,https://www.soccerdonna.de/en/phallon-tullis-joyce/profil/spieler_41276.html,91 Phallon Tullis-Joyce,19.10.1996,"Long Island, New York",28,Phallon Abaigeal Tullis-Joyce,"1,85",United States,Goalkeeper,,250.000 €,30.06.2028,,www.instagram.com/phallon/,09.11.2023,25.04.2025
Manchester United,https://www.soccerdonna.de/en/lucy-newell/profil/spieler_74063.html,Lucy Newell,02.10.2006,,18,,,England,"Defence - Fullback, right",,15.000 €,?,,,,
Manchester United,https://www.soccerdonna.de/en/jess-simpson/profil/spieler_63571.html,Jess Simpson,13.01.2005,Clitheroe,20,Jessica Simpson,,England,"Defence - Fullback, left",left,20.000 €,?,,,20.11.2024,
Manchester United,https://www.soccerdonna.de/en/anna-sandberg/profil/spieler_54553.html,2 Anna Sandberg,23.05.2003,,22,Anna Linnea Sandberg,"1,66",Sweden,"Defence - Fullback, left",left,350.000 €,30.06.2027,,,17.11.2024,
Manchester United,https://www.soccerdonna.de/en/gabby-george/profil/spieler_22167.html,3 Gabby George,02.02.1997,Camborne,28,Gabrielle Alishya George,"1,70",England,"Defence - Fullback, left",,300.000 €,?,,,01.10.2023,
